4486,100000,1
2041,99999,2
1248,99998,3
3269,99997,4
5467,99996,5
792,99995,6
442,99994,7
1453,99993,8
4933,99992,9
4362,99991,10
3649,99990,11
5267,99989,12
5646,99988,13
3636,99987,14
3755,99986,15
5181,99985,16
1517,99984,17
2254,99983,18
2321,99982,19
1343,99981,20
4732,99980,21
4091,99979,22
3446,99978,23
3442,99977,24
3211,99976,25
3080,99975,26
5847,99974,27
4917,99973,28
5407,99972,29
1245,99971,30
2824,99970,31
2121,99969,32
4280,99968,33
1390,99967,34
1578,99966,35
2199,99965,36
3369,99964,37
4404,99963,38
4336,99962,39
3666,99961,40
4497,99960,41
3626,99959,42
3629,99958,43
4446,99957,44
4516,99956,45
3993,99955,46
635,99954,47
3401,99953,48
3864,99952,49
4046,99951,50
1528,99950,51
5069,99949,52
3335,99948,53
3156,99947,54
2679,99946,55
4682,99945,56
4134,99944,57
1910,99943,58
5036,99942,59
2879,99941,60
5822,99940,61
1270,99939,62
2874,99938,63
4503,99937,64
5452,99936,65
3773,99935,66
4367,99934,67
2533,99933,68
5151,99932,69
5627,99931,70
2724,99930,71
5558,99929,72
3248,99928,73
5032,99927,74
3626,99926,75
5512,99925,76
4978,99924,77
878,99923,78
5179,99922,79
4344,99921,80
4400,99920,81
245,99919,82
3442,99918,83
5742,99917,84
2154,99916,85
5410,99915,86
3520,99914,87
1712,99913,88
5550,99912,89
512,99911,90
5419,99910,91
727,99909,92
433,99908,93
220,99907,94
542,99906,95
4627,99905,96
4612,99904,97
4270,99903,98
2155,99902,99
2304,99901,100
148,99900,101
5217,99899,102
626,99898,103
4673,99897,104
3573,99896,105
5493,99895,106
2164,99894,107
5684,99893,108
345,99892,109
4098,99891,110
5735,99890,111
4956,99889,112
1962,99888,113
3891,99887,114
2374,99886,115
2200,99885,116
3274,99884,117
3838,99883,118
3156,99882,119
2931,99881,120
424,99880,121
2185,99879,122
5388,99878,123
2756,99877,124
706,99876,125
4786,99875,126
5940,99874,127
5595,99873,128
5742,99872,129
5996,99871,130
3139,99870,131
942,99869,132
3810,99868,133
2980,99867,134
749,99866,135
510,99865,136
3786,99864,137
4143,99863,138
3188,99862,139
4858,99861,140
2047,99860,141
788,99859,142
3233,99858,143
2179,99857,144
3414,99856,145
4113,99855,146
563,99854,147
1761,99853,148
3174,99852,149
1964,99851,150
902,99850,151
4375,99849,152
5991,99848,153
4444,99847,154
2118,99846,155
5302,99845,156
1184,99844,157
791,99843,158
3035,99842,159
5634,99841,160
2433,99840,161
5747,99839,162
1831,99838,163
5279,99837,164
3122,99836,165
3699,99835,166
127,99834,167
5433,99833,168
2384,99832,169
2013,99831,170
5633,99830,171
5101,99829,172
2068,99828,173
4342,99827,174
906,99826,175
5379,99825,176
3968,99824,177
555,99823,178
5163,99822,179
338,99821,180
3777,99820,181
5724,99819,182
1080,99818,183
4274,99817,184
5371,99816,185
5115,99815,186
787,99814,187
4427,99813,188
841,99812,189
3278,99811,190
698,99810,191
609,99809,192
1770,99808,193
122,99807,194
1653,99806,195
2970,99805,196
201,99804,197
1362,99803,198
1722,99802,199
3506,99801,200
246,99800,201
3287,99799,202
3157,99798,203
5885,99797,204
736,99796,205
238,99795,206
1373,99794,207
5455,99793,208
41,99792,209
4961,99791,210
3142,99790,211
4154,99789,212
3753,99788,213
5075,99787,214
5864,99786,215
1807,99785,216
1676,99784,217
4389,99783,218
1429,99782,219
869,99781,220
97,99780,221
848,99779,222
5669,99778,223
5778,99777,224
675,99776,225
2572,99775,226
1140,99774,227
2288,99773,228
853,99772,229
5276,99771,230
753,99770,231
1477,99769,232
4651,99768,233
3833,99767,234
1323,99766,235
2716,99765,236
4047,99764,237
5852,99763,238
5550,99762,239
1595,99761,240
1138,99760,241
2628,99759,242
1407,99758,243
319,99757,244
3150,99756,245
902,99755,246
5597,99754,247
3341,99753,248
4960,99752,249
4143,99751,250
2473,99750,251
4358,99749,252
5889,99748,253
4348,99747,254
2029,99746,255
1492,99745,256
2381,99744,257
1164,99743,258
2742,99742,259
1241,99741,260
1463,99740,261
2997,99739,262
5574,99738,263
1292,99737,264
2909,99736,265
682,99735,266
5853,99734,267
5966,99733,268
4703,99732,269
2304,99731,270
1511,99730,271
3722,99729,272
4605,99728,273
5367,99727,274
4854,99726,275
1890,99725,276
4344,99724,277
2020,99723,278
4104,99722,279
5687,99721,280
2547,99720,281
2809,99719,282
3020,99718,283
4849,99717,284
4416,99716,285
3142,99715,286
5536,99714,287
3906,99713,288
5257,99712,289
3227,99711,290
2115,99710,291
4965,99709,292
3964,99708,293
2671,99707,294
1087,99706,295
3347,99705,296
3557,99704,297
1050,99703,298
2832,99702,299
3391,99701,300
4608,99700,301
4870,99699,302
495,99698,303
3236,99697,304
4451,99696,305
159,99695,306
