500,218,213,185
600,438,433,401
700,399,395,347
800,450,465,387
900,602,594,513
1000,795,811,723
1100,935,932,868
1200,950,953,858
1300,1013,938,863
1400,871,867,779
1500,884,891,818
1600,1002,969,845
1700,999,1017,843
1800,1043,1028,859
1900,1052,1039,853
2000,1570,1530,1432
2100,1640,1609,1488
2200,1586,1561,1428
2300,1523,1438,1300
2400,1509,1439,1290
2500,1663,1601,1473
2600,1836,1816,1595
2700,1896,1874,1680
2800,1927,1842,1647
2900,1903,1866,1643
3000,1973,1909,1654
3100,1959,1947,1674
3200,1970,1997,1656
3300,2017,1962,1648
3400,1990,1945,1665
3500,2022,1993,1648
3600,2015,2045,1632
3700,2059,2012,1639
3800,1407,1389,1018
3900,1715,1628,1314
4000,1899,1761,1579
4100,2155,2033,1772
4200,2613,2488,2229
4300,3129,3038,2713
4400,3248,3123,2784
4500,3698,3485,3211
4600,3469,3313,2958
4700,3694,3580,3197
4800,3674,3574,3223
4900,3753,3637,3250
5000,3756,3600,3226
5100,3780,3683,3237
5200,3866,3721,3284
5300,3676,3517,3110
5400,3722,3507,3092
5500,3812,3650,3232
5600,3754,3591,3163
5700,3726,3551,3081
5800,3698,3787,3087
5900,3741,3556,3159
6000,3662,3504,3010
6100,3631,3497,2995
6200,3707,3578,2964
6300,3651,3487,2954
6400,3783,3627,3080
6500,3735,3605,3005
6600,3650,3523,2935
6700,3730,3542,2916
6800,3650,3530,2910
6900,4089,3923,3261
7000,3499,3369,2695
7100,3914,3769,3075
7200,3998,3870,3150
7300,4015,3948,3138
7400,4042,3913,3210
7500,4019,3983,3171
7600,3891,3769,3002
7700,3991,3934,3103
7800,4566,4356,3673
7900,4993,4613,4078
8000,5354,5091,4532
8100,5843,5516,4944
8200,6442,6068,5553
8300,10171,9792,9396
8400,9063,8784,8096
8500,11089,10810,10039
8600,11105,10637,9983
8700,10972,10641,9821
8800,10880,10502,9810
8900,15619,15249,14587
9000,15746,15357,14793
9100,13691,13382,12744
9200,17122,16685,16055
9300,16957,16648,15996
9400,17017,17297,16008
9500,16959,16637,15967
9600,26672,25883,25219
9700,22431,22125,21302
9800,29707,29259,28745
9900,29885,29722,28997
10000,47058,47431,45886
