500,653,625,633
600,861,856,833
700,1130,1123,1104
800,1461,1439,1407
900,2458,2446,2315
1000,1727,1637,1656
1100,3122,3071,3070
1200,3670,3561,3598
1300,4086,4008,3911
1400,2648,2548,2543
1500,3143,3047,3049
1600,4686,4628,4659
1700,5026,5022,4913
1800,5325,5250,5236
1900,5771,5669,5535
2000,6100,5918,5929
2100,6259,6120,6136
2200,3984,3811,3850
2300,4285,4103,4110
2400,4422,4319,4218
2500,5419,5373,5237
2600,7824,7633,7687
2700,7942,7715,7780
2800,8013,7820,7880
2900,8120,7873,7962
3000,8223,8001,8030
3100,8302,8000,8085
3200,8542,8281,8245
3300,8822,8513,8551
3400,8908,8708,8671
3500,9453,9208,9270
3600,9689,9496,9350
3700,9968,9699,9575
3800,5549,5394,5337
3900,5739,5603,5465
4000,5863,5472,5535
4100,6261,5989,5898
4200,6802,6444,6490
4300,7480,7107,7140
4400,7745,7437,7473
4500,9093,8340,8500
4600,8907,8548,8514
4700,12574,11929,11841
4800,12482,12113,11935
4900,12397,12078,12064
5000,12665,12355,12330
5100,13298,12876,12853
5200,12796,12321,12457
5300,12965,12482,12482
5400,13080,12719,12804
5500,13512,13111,13053
5600,13564,13041,13111
5700,13634,13171,13074
5800,13667,13146,13098
5900,13877,13259,13194
6000,13734,13241,13361
6100,13904,13322,13263
6200,13979,13362,13488
6300,13794,13375,13397
6400,14259,13668,13636
6500,14284,13672,13569
6600,14197,13693,13635
6700,14704,14080,14166
6800,15275,14898,14636
6900,15481,14763,14830
7000,12439,11709,11674
7100,12402,11686,11794
7200,12463,11781,11664
7300,12334,11788,11757
7400,12336,11767,11970
7500,12255,11743,11586
7600,12488,11829,11958
7700,12507,11988,11954
7800,12439,11786,11934
7900,12659,11971,11972
8000,13211,12597,12571
8100,13724,12820,12815
8200,13748,13128,13056
8300,17779,17087,17191
8400,18589,17771,17999
8500,18550,17767,17842
8600,18820,18025,18093
8700,23758,23059,22847
8800,24255,23419,23415
8900,22058,21169,21454
9000,25971,25386,25233
9100,26273,25500,25718
9200,27113,26333,26192
9300,27096,26120,26052
9400,36770,36035,35917
9500,32239,31481,31309
9600,40515,39250,39757
9700,39932,38894,39203
9800,57124,56190,56059
9900,65569,64992,64797
10000,109960,109506,109308
