500,390,377,363
600,460,452,450
700,563,532,545
800,618,625,594
900,721,693,696
1000,801,768,768
1100,887,856,836
1200,950,929,926
1300,1047,1037,992
1400,1151,1101,1061
1500,1219,1235,1152
1600,1331,1293,1294
1700,1411,1314,1338
1800,1477,1449,1423
1900,1601,1559,1518
2000,1708,1635,1642
2100,1848,1787,1777
2200,1969,1872,1859
2300,2011,1915,1889
2400,2055,2041,2000
2500,2168,2119,2065
2600,2374,2261,2230
2700,2466,2386,2327
2800,2506,2470,2515
2900,2696,2497,2411
3000,2717,2591,2583
3100,2931,2710,2748
3200,3007,2902,2837
3300,3142,2991,2914
3400,3105,3029,2887
3500,3200,3167,3017
3600,3265,3123,3125
3700,3529,3399,3313
3800,3566,3388,3325
3900,3597,3431,3382
4000,3780,3482,3447
4100,3850,3590,3512
4200,3807,3706,3592
4300,4047,3907,3741
4400,4088,3886,3792
4500,4155,3963,3906
4600,4223,3953,3906
4700,4254,4020,4009
4800,4390,4257,4182
4900,4510,4628,4230
5000,4597,4353,4292
5100,4731,4468,4428
5200,4785,4605,4490
5300,4866,4783,4567
5400,4925,4703,4650
5500,5033,4830,4737
5600,5187,4994,4849
5700,5274,5097,4866
5800,5312,5176,4993
5900,5448,5229,5069
6000,5475,5287,5341
6100,5640,5424,5286
6200,5669,5383,5436
6300,5695,5557,5430
6400,5775,5461,5374
6500,5926,5608,5451
6600,5928,5802,5637
6700,6215,5893,5854
6800,6361,6001,5967
6900,6448,6119,5993
7000,6491,6186,6141
7100,6599,6302,6185
7200,6668,6338,6261
7300,6594,6384,6260
7400,6842,6452,6369
7500,6900,6570,6372
7600,6819,6608,6490
7700,6952,6623,6523
7800,7021,6731,6590
7900,7155,6833,6738
8000,7257,6922,6773
8100,7305,6930,6993
8200,7407,7076,6936
8300,7566,7243,7135
8400,8043,7542,7377
8500,7826,7584,7348
8600,8028,7660,7502
8700,8035,7748,7672
8800,8191,7928,7659
8900,8624,8052,8072
9000,8497,8093,8041
9100,8454,8079,7975
9200,8627,8224,8120
9300,8578,8293,8041
9400,8836,8388,8242
9500,8876,8323,8262
9600,8770,8324,8262
9700,8812,8432,8190
9800,8818,8419,8430
9900,8992,8554,8399
10000,9067,8744,8502
